date,code,open,high,low,close,volume,turn,pctChg
2012-11-30,sh.000001,2070.0200,2123.3270,1959.3340,1980.1170,124520339000,0.064787,-4.290389
2012-12-31,sh.000001,1977.2540,2269.5120,1949.4570,2269.1280,224520648100,0.116128,14.595653
2013-01-31,sh.000001,2289.5100,2391.8210,2234.9470,2385.4220,267192606600,0.137064,5.125052
2013-02-28,sh.000001,2377.4140,2444.8040,2289.8870,2365.5930,182653469800,0.093633,-0.831258
2013-03-29,sh.000001,2364.5440,2369.6490,2228.8130,2236.6210,232595488600,0.118677,-5.451994
2013-04-26,sh.000001,2229.4600,2253.4210,2165.7840,2177.9120,149714367200,0.076025,-2.624897
2013-05-31,sh.000001,2170.7830,2334.3350,2161.1400,2300.5950,229489956648,0.116214,5.633056
2013-06-28,sh.000001,2300.2090,2313.4250,1849.6530,1979.2060,155238404644,0.077249,-13.969821
2013-07-31,sh.000001,1965.9870,2092.8680,1946.3660,1993.7990,216496432200,0.100311,0.737316
2013-08-30,sh.000001,2000.8180,2198.8480,1997.0580,2098.3820,248948605300,0.107513,5.245413
2013-09-30,sh.000001,2104.0900,2270.2680,2078.4550,2174.6650,299950772888,0.128346,3.635325
2013-10-31,sh.000001,2171.9040,2242.9840,2093.1970,2141.6140,237739575124,0.100892,-1.519820
2013-11-29,sh.000001,2139.8800,2234.3870,2078.9880,2220.5040,218787186760,0.092652,3.683670
2013-12-31,sh.000001,2203.1220,2260.8710,2068.5430,2115.9780,207126395904,0.087568,-4.707310
2014-01-30,sh.000001,2112.1260,2113.1100,1984.8240,2033.0830,156358033152,0.065814,-3.917574
2014-02-28,sh.000001,2022.3230,2177.9780,2014.3810,2056.3020,205121833472,0.085996,1.142059
2014-03-31,sh.000001,2052.0750,2079.5510,1974.3820,2033.3060,231297668864,0.096737,-1.118318
2014-04-30,sh.000001,2031.0050,2146.6700,1997.6400,2026.3580,206744785664,0.086265,-0.341710
2014-05-30,sh.000001,2022.1780,2061.0600,1991.0550,2039.2120,151246051348,0.062875,0.634340
2014-06-30,sh.000001,2039.1960,2087.3220,2010.5300,2048.3270,159123148032,0.065761,0.446986
2014-07-31,sh.000001,2051.2250,2202.1260,2033.0040,2201.5620,298095463680,0.122443,7.480983
2014-08-29,sh.000001,2194.1700,2248.9390,2180.5970,2217.2000,334378011392,0.136934,0.710314
2014-09-30,sh.000001,2220.1290,2365.4910,2217.6850,2363.8700,419103106048,0.171075,6.615100
2014-10-31,sh.000001,2368.5760,2423.5960,2279.8360,2420.1780,369728692224,0.149769,2.382026
2014-11-28,sh.000001,2425.2250,2683.1800,2401.7500,2682.8350,569133459712,0.230166,10.852797
